fen|mv|mv_score|bmv|bmv_score|difs
r1bqkb1r/ppp2p1p/2n2np1/1B1pp3/3PP3/2P2N2/PP2QPPP/RNB1K2R b KQkq - 1 7|c4b5|115|e4d5|239|124
r1bqkb1r/ppp2p1p/2B3p1/3pp3/3Pn3/2P2N2/PP2QPPP/RNB1K2R b KQkq - 0 8|b5c6|-17|f3e5|114|131
r1bqkb1r/p1p2p1p/2p3p1/3pP3/4n3/2P2N2/PP2QPPP/RNB1K2R b KQkq - 0 9|d4e5|-165|e1g1|0|165
r1bqk2r/p1p2pbp/2p3p1/3pP3/2P1n3/5N2/PP2QPPP/RNB1K2R b KQkq - 0 10|c3c4|-191|e1g1|-67|124
r2qk2r/p1p3bp/b1p3p1/3pPp2/2P1n3/5N2/PP1NQPPP/R1B2RK1 b kq - 1 12|e1g1|-98|e5f6|26|124
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4|f8c5|-109|g8f6|-41|68
r1b2rk1/ppp2ppp/2n5/2bq2N1/4p3/3B4/PPPP1PPP/R1BQK2R w KQ - 0 10|e5e4|283|d5g2|699|416
r1b2rk1/ppp2ppp/2n5/1Bb3q1/4p3/8/PPPP1PPP/R1BQK2R w KQ - 0 11|d5g5|983|d5g5|1026|43
r1b1kbnr/ppppqpp1/2B1p2p/4P3/3P4/P1N2N2/1PP2PPP/R1BQK2R b KQkq - 0 8|b5c6|99|d4d5|248|149
r1b1kbnr/ppp2pp1/4p2p/2q1P3/8/P1N1BN2/1PP2PPP/R2Q1RK1 b kq - 1 11|c1e3|150|d1d3|290|140
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4|f8c5|-108|g8f6|-60|48
r1bq1rk1/ppp2ppp/2np4/2bnp1N1/2B1P3/3P4/PPP2PPP/R1BQK2R w KQ - 0 8|f6d5|19|h7h6|96|77
r1bq1rk1/ppp2ppp/3p4/2bBp1N1/3nP3/3P4/PPP2PPP/R1BQK2R w KQ - 1 9|c6d4|-355|d8f6|18|373
r1bq1rk1/ppp2pp1/3p3p/2bBp1N1/3nP3/2PP4/PP3PPP/R1BQK2R w KQ - 0 10|h7h6|-270|d4e6|-17|253
r1bq1rk1/ppp2pp1/3p4/2bBp1p1/3PP3/3P4/PP3PPP/R1BQK2R w KQ - 0 11|h6g5|-493|c5b4|-69|424
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5|c6d4|-136|g8f6|-66|70
r1bqkb1r/pppp1ppp/5n2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6|g8f6|-204|d8f6|-98|106
r1bqkb1r/pp1p1ppp/8/2pnP3/7Q/8/PPP2PPP/RNB1KB1R w KQkq - 2 8|f6d5|-170|d8e7|-103|67
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|-42|g1f3|30|72
r1bqkbnr/pppp1ppp/8/3Pp3/3nP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 4|g1f3|54|c2c3|380|326
